City,State,Restaurant_Name,Place_ID,Price_Range,Rating,Ratings_Count,Lat,Lng
Hardeeville,SC,Dunkin',ChIJdUZev9qX-4gRYqbKAZ0qDLI,1,3.4,21,32.2687941,-81.0810824
Hardeeville,SC,Subway,ChIJbxQf6zSX-4gRvLp4CeF_mo4,1,3.5,95,32.2689514,-81.0810639
Hardeeville,SC,Chickin Lickin,ChIJN3wtK9SW-4gRGipz8cFGR6E,2,4.2,1069,32.2699314,-81.0807786
Hardeeville,SC,Parker's Kitchen,ChIJcWrzKdSW-4gRREjdDEsMNo8,0,4.1,286,32.2702543,-81.0808781
Hardeeville,SC,Waffle House,ChIJV2_ADrWW-4gR1b68t-tvrr0,1,3.8,860,32.2707947,-81.0807476
Bluffton,SC,Don Chanito restaurant and pizza,ChIJZZaml8mP-4gRtFwAjZx8rKY,1,3.9,161,32.2518463,-80.9670486
Hardeeville,SC,Burger King,ChIJdf3rMtSW-4gRP3jPIy6Lv0s,1,3,389,32.2772195,-81.0804382
Hardeeville,SC,Wendy's,ChIJpasnBdKW-4gR2I0-cuax7Fo,1,3.2,834,32.2775797,-81.0805217
Phillips,ME,The Local Bull,ChIJ3y3Zi4cSsUwRzy5MDFBXUU4,0,4.1,17,44.8237457,-70.3403095
Phillips,ME,Alpacaville,ChIJaw4pnZgMsUwRixjI3zix4Bw,0,4.5,4,44.8417182,-70.403395
Augustine,TX,Sunshine Conoco,ChIJHTwnmcPaOYYRxrWEwAYZ8NE,0,5,1,31.3947515,-94.2057531
,,,,,,,,
Hollister,CA,Casa De Bakery,ChIJ40HFvMDxkYARLdVWiKbzYsg,0,3.7,21,36.9883209,-121.381477
Gilroy,CA,Casa de Restaurant,ChIJ0ZvWs8DxkYARpnYtSbP5Ckw,2,4.3,153,36.9882374,-121.3824805
Hollister,CA,Casa De Fruta,ChIJEUWZzMbxkYARqNwEhpqCp-Y,0,4.5,10337,36.9879259,-121.3826834
Hollister,CA,The Grove by Leal Vineyards,ChIJlV96DA7xkYARuzb0OzxWCbo,2,4.3,615,36.9589271,-121.3831405
Conrad,MT,Subway,ChIJAdXOseLAaVMRHFt6gZM6brA,1,4.5,26,48.1778561,-111.9410658
Conrad,MT,Main Drive In,ChIJ11mLnR3BaVMRRNIFRVc7FYk,1,4.7,117,48.1764405,-111.9421193
Descanso,CA,Descanso Junction Restaurant and Catering,ChIJJ3oBM_hU2YAR1aYDWoWA4BU,2,4.7,568,32.8409188,-116.6134721
Descanso,CA,Veronica's Kitchen,ChIJc6jkXk5j2YAR7sjlQ8vNEe8,1,4.5,101,32.8535218,-116.6156744
Collins,MO,Smith's Restaurant,ChIJE-EhMh3TxYcROvGFbWQb1tk,0,4.4,1197,37.8920809,-93.6244289
Collins,MO,Champs Chicken,ChIJIfOGCQPTxYcRTU6dY8R8POE,2,5,2,37.8887069,-93.6231574
Collins,MO,Danny's pub grub and cool pool,ChIJ1QymRxrTxYcRY8pSQYl7jpU,0,0,0,37.8896263,-93.6219914
Collins,MO,Subway,ChIJmY07-zLSxYcR33yRDOep1d8,1,3.9,162,37.8748317,-93.6211126
Stacyville,IA,Gerbs Bar & Grill,ChIJ9bsMhbPq8IcRg6EPjwUxEXY,1,4.5,66,43.4354682,-92.7806924
Colony,TX,China Star,ChIJAw7VJek6TIYR_6f_SghzbKM,0,3.3,164,33.0956712,-96.8912122
Colony,TX,RIX Sports Bar,ChIJbXRaJuk6TIYR8uoLdhgAby0,2,4.1,283,33.0954606,-96.8912766
Colony,TX,Subway,ChIJUw2xHew6TIYRZxriGTsI8eY,1,4.2,53,33.098141,-96.8931676
Colony,TX,MrJims.Pizza,ChIJbXRaJuk6TIYREQqhUq2oO6c,1,4.5,87,33.0954395,-96.8917331
Colony,TX,Corner Store,ChIJkUDS6u46TIYRY5Kgg-YtLPQ,1,2.9,15,33.096927,-96.8930435
Colony,TX,Roma's Italian Restaurant - The Colony,ChIJbXRaJuk6TIYR7IAzIO3SRic,2,4.4,370,33.095359,-96.892016
Colony,TX,Afghan Restaurant,ChIJn4L-TcA7TIYRZQVoRCBhYJQ,0,0,0,33.097538,-96.8940824
Colony,TX,Ariana Kebabs Bar & Grill,ChIJ53IRHsI7TIYRny_jpRrWeKQ,0,4.6,157,33.0974949,-96.8942467
Colony,TX,Little Caesars Pizza,ChIJKfyxHew6TIYRsfY5xG84lVM,1,3.8,196,33.09697,-96.89421
Colony,TX,Nick's Bar & Grill,ChIJN8qkOyc7TIYReDox-JjbdSM,0,4,297,33.085218,-96.876017
Colony,TX,The Rice Bar,ChIJTaa35iY7TIYR8RkOnY-H4XI,1,4.7,272,33.0845857,-96.8749413
Colony,TX,Twinkle Donuts & Toast,ChIJPX8vWVM7TIYR1WV1rgIRAAw,1,4.9,76,33.0845733,-96.8749548
Colony,TX,Corner Store,ChIJr5Qemtk6TIYRv3C5nzA0BwI,1,3.4,9,33.083961,-96.877152
Frisco,TX,Bistro Trio Euro Tavern,ChIJpStgIWc7TIYRA5l1aW_624A,0,4.7,48,33.124279,-96.8893432
Frisco,TX,Yum Asian Bistro Frisco,ChIJqSe0yVo6TIYRphngp7iGcZU,1,4.3,227,33.124079,-96.890045
Frisco,TX,Barneys Brunch House,ChIJSZNMrVo6TIYRTIq1lo6FHWM,2,4.5,742,33.1245489,-96.889363
Frisco,TX,Casa Del Bro Mexican Grill & Creamery,ChIJgUjkvjE7TIYRNzlUFZhe4Rk,0,4.7,161,33.124154,-96.8902932
Colony,TX,Corner Store,ChIJFxcvjy87TIYRT038syqDr88,1,3.3,27,33.0805927,-96.8691373
Frisco,TX,Bistro Trio,ChIJ7TxbK3s7TIYRpvMmu5tKo6Q,0,3.8,4,33.1251684,-96.8893716
Colony,TX,Domino's Pizza,ChIJIwIPVcQ6TIYRPfZsCzpZVtc,1,3.9,210,33.0830321,-96.8923059
Deer,TX,Harrahs Bar & Grille,ChIJdaOl33ktB4cRLv7yBrRV-3E,2,4.4,242,35.4348364,-101.1731453
Kerrville,TX,Save Inn Restaurant,ChIJZaErIXPjW4YRnNxUxVwUcE8,1,4.4,396,30.0640302,-99.1225461
Kerrville,TX,Acapulco Mexican Restaurant,ChIJ38utNg3jW4YR4ouQfycdjS0,1,4.2,971,30.062663,-99.1238901
Kerrville,TX,Sonic Drive-In,ChIJB9UbuHLjW4YR8JRd207KM5E,1,3.2,701,30.0623854,-99.1228145
Kerrville,TX,Branding Iron restaurant,ChIJG4biaXHjW4YRuKIgeck63Do,0,4,168,30.0659996,-99.1173373
Kerrville,TX,Cracker Barrel Old Country Store,ChIJF0tQ2XbjW4YRWzVTdBiI99g,2,4.3,1918,30.0681152,-99.1153098
Kerrville,TX,"Bella Sera of Kerrville, Inc.",ChIJaQTIPnfjW4YRp2OXJgjlUA8,2,4.3,655,30.068446,-99.114322
Kerrville,TX,McDonald's,ChIJvyLnbnfjW4YR17EAwIEyKPE,1,3.7,538,30.0691638,-99.1135119
Kerrville,TX,Laredo Taco Company,ChIJhTOUM3fjW4YRIEgtzpGL4yM,0,3,5,30.06771,-99.1143805
Kerrville,TX,Shell,ChIJvyLnbnfjW4YRBlB768bxAwU,2,3.1,19,30.069333,-99.113202
Kerrville,TX,IHOP,ChIJqf2aXhLjW4YRcDhB9WtaBlM,1,3.6,985,30.0590181,-99.1265245
Kerrville,TX,Margarita's City,ChIJZR5S23njW4YRRwiUoRNfUJI,1,4.1,597,30.0692537,-99.1117434
Kerrville,TX,Schlotzsky's,ChIJQWKtNxLjW4YRhX-PUA9gewo,1,4.3,626,30.058204,-99.127314
Kerrville,TX,Good Taste Asian Buffet,ChIJRbkGWbjjW4YRtmFjKnlDCV8,0,3.4,163,30.0558308,-99.1293917
Kerrville,TX,Bamboo Asian Buffet,ChIJ66KfaxHjW4YR7UeFKhW3aLo,2,2.8,132,30.0558308,-99.1293917
Kerrville,TX,Taco Casa,ChIJ-8dCOhHjW4YRgxTdbWZtMBo,1,4.3,1035,30.0555556,-99.1308333
Kerrville,TX,Dairy Queen Store,ChIJsyTALBfjW4YR7l-o4M39z4U,1,3.7,438,30.0545443,-99.1322163
Kerrville,TX,Soaring Dragon Chinese Restaurant,ChIJeXVixhnjW4YRuQJmSK2YFvs,2,4.6,554,30.0525476,-99.1356087
Kerrville,TX,Broken Stone Pizza Co,ChIJjUuezRnjW4YRAR5v2XECuYU,2,4.4,336,30.0515914,-99.1352433
Kerrville,TX,Buzzie's Bar-B-Q,ChIJ590jeh7jW4YR41DrqeEAQeA,2,4.3,453,30.0532375,-99.1436201
Kerrville,TX,Taco Bell,ChIJ34Z5ThjjW4YRjKctabOJCP4,1,3.6,649,30.0511502,-99.1358779
Knoxville,OH,Main Street Station,ChIJNb5LbyurP4gR8pQGAONwBRM,1,4.6,237,40.4950945,-84.3168391
Knoxville,OH,Pizzapizxa,ChIJFXUKm1urP4gRBWpy6LW-NQo,0,0,0,40.4812939,-84.3432817
Marys,OH,E-Z Campground & Diner,ChIJoTQd2RRUPogRwDof6c8Yc3g,1,4.2,129,40.5586219,-84.3386447
Bremen,OH,Green Thumb Farm Fresh Cafe & Restaurant,ChIJkR8TnsOtP4gRZgXO3Q3K_7A,0,4.4,13,40.4809745,-84.3758171
Marys,OH,Circle K,ChIJkchZ7KVTPogRJmxNthhQsm0,1,3.8,118,40.5449657,-84.3847346
Marys,OH,C & C Loft & Lounge,ChIJ2yvAAKZTPogRbZ6NplvTEEs,1,4,116,40.544119,-84.385497
Marys,OH,Guarnieri Pizzeria,ChIJD1Wr46VTPogRyMpk57mJhvs,2,4.5,213,40.5443626,-84.3858468
Shenandoah,IA,Elm Street Grill,ChIJKe03AY7DlIcRGTGm2DVwW78,0,4.7,18,40.7499658,-95.3738816
