City,Lat,Lng,State,Place_ID,Price_range,Rating,Ratings_count
Central,34.719165,-82.786184,SC,ChIJzzJb_mdcWIgR2QdXm1O0VKE,1,4.3,206
Central,34.7234014,-82.7829456,SC,ChIJe06jTL9dWIgRCiTYZDdcpRE,0,4.7,22
Corinth,43.2460411,-73.8190467,NY,ChIJx6GA8rXK34kRRxE2NEZIQFI,0,4.7,83
Hadley,43.3041992,-73.8345947,NY,ChIJbVwWtFzE34kRPpMEijaxH-s,0,4.6,195
Luzerne,43.309704,-73.8342287,NY,ChIJuSg6ag_K34kRFQ1zOASPMpA,0,4.4,59
Corinth,43.247096,-73.833237,NY,ChIJ9f7YVazK34kRbRtPAWbVz-Y,2,4.5,247
Corinth,43.2463078,-73.8326594,NY,ChIJq6pjBK3K34kRZxRgdy_2DDA,0,4.8,43
Corinth,43.2479046,-73.8344304,NY,ChIJyZahQazK34kR2oNEFOcD51w,1,4,50
Corinth,43.2446015,-73.8312835,NY,ChIJo5r-SK3K34kRYpXL0lZp-aA,0,3.2,98
Corinth,43.244583,-73.83135,NY,ChIJo5r-SK3K34kRsgGW30JMJts,1,4.8,5
Corinth,43.246384,-73.83368,NY,ChIJ-Ua6-6zK34kRVtJ-2YUuA6I,1,4.3,7
Corinth,43.247409,-73.834855,NY,ChIJzwa8ZqzK34kRO91AtqIpfGI,0,4.8,5
Corinth,43.2463667,-73.833923,NY,ChIJx6v58KzK34kRvfEYPpqcc_E,2,4.3,64
Luzerne,43.3110741,-73.8344399,NY,ChIJW35wjQXK34kRPpB--JeXlPA,2,4.7,125
Luzerne,43.311925,-73.8341907,NY,ChIJJzs7pQHK34kRlf63kZhx2Vc,0,4.1,54
Luzerne,43.313103,-73.83464,NY,ChIJMWdLgxrK34kRfcdMRLtt_t8,2,4.9,7
Corinth,43.2470223,-73.8382995,NY,ChIJT_gxxRrL34kR7-58mAyrtzU,0,5,3
Queensbury,43.2953971,-73.6996216,NY,ChIJfTLBWNPN34kRYr1nawJMGmA,0,4.3,145
Queensbury,43.2954944,-73.6991339,NY,ChIJp_ffJtXN34kRjMw-mHwHt4U,1,4.4,224
